都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
132250,1322500001,東京都,稲城市,いなぎ発信基地ペアテラス,イナギハッシンキチペアテラス,,1001a,東京都稲城市東長沼516-2,,35.64413,139.50285,日月火水木金土,10:00,19:00,年末年始は休み,無料,無料,観光関連施設のパンフレットの配布や観光スポットの紹介等、稲城市の観光情報を発信しています。,,JR南武線稲城長沼駅下車徒歩約１分,,,,(042)401-5786,,,,https://inagi-kanko.jp/,指定管理者は稲城市観光協会
132250,1322500002,東京都,稲城市,よみうりランド,ヨミウリランド,,1008a,東京都稲城市矢野口4015-1,,35.63211,139.51749,日月火水木金土,11:00,20:30,"土曜日の開始時間は10時から
日曜日の開始時間は9時30分から
（終了時間はともに20時30分まで）",右記参照,"大人（18歳～64歳）5,400円
中高生4,300円
３歳～小学生3,800円
シルバー（65歳以上）4,500円",夏は５つのプールと3種のスライダーが楽しめる「プールWAI」、冬は幻想的なイルミネーション「ジュエルミネーション」が楽しめます。,,"京王相模原線京王よみうりランド駅下車　ゴンドラで５～10分
京王相模原線京王よみうりランド駅からバス（読売ランド前駅経由）寺尾台団地行き「よみうりランド」下車",,,,(044)966-1111,,,,https://www.yomiuriland.com/,
132250,1322500003,東京都,稲城市,大塚牧場,オオツカボクジョウ,,0324a,東京都稲城市坂浜1194,,35.61953,139.48508,日月火水木金土,,,,無料,無料,稲城市内で唯一の牧場。牛、うさぎ、鶏、羊、ヤギ等を飼育しています。,,"京王相模原線稲城駅からバス新百合ヶ丘行き「よみうりカントリークラブ前」下車
iバス「よみうりカントリークラブ前」下車",,,,(042)331-3936,,,,,
132250,1322500004,東京都,稲城市,穴澤天神社,アナザワテンジンシャ,,0701a,東京都稲城市矢野口3292,,35.63278,139.52222,日月火水木金土,,,,無料,無料,平安時代に編纂された延喜式神名帳に記載があるとされる稲城市内最古の神社です。,,京王相模原線京王よみうりランド駅下車徒歩5分,,,,(042)377-0055,,,,,
132250,1322500005,東京都,稲城市,大麻止乃豆乃天神社,オオマトノツノテンジンシャ,,0701a,東京都稲城市大丸847,,35.64613,139.49186,日月火水木金土,,,,無料,無料,平安時代に編纂された延喜式神名帳に記載があるとされる古社です。鳥居をくぐり、境内へと続く長い石段を登ると神秘的な空間が広がります。,,JR南武線南多摩駅下車徒歩10分,,,,,,,,,
132250,1322500006,東京都,稲城市,妙見寺,ミョウケンジ,,0702a,東京都稲城市百村1588,,35.63397,139.49831,日月火水木金土,,,,無料,無料,全国でも珍しい神仏混淆の寺社です。緑に囲まれた高台に位置していることから、山上からは多摩川や都心方面が一望できます。,,京王相模原線稲城駅下車徒歩6分,,,,(042)377-6324,,,,,
132250,1322500007,東京都,稲城市,妙覚寺,ミョウカクジ,,0702a,東京都稲城市矢野口2454,,35.63241,139.51428,日月火水木金土,,,,無料,無料,室町時代の終わりに建立されたといわれ、境内には稲城市内最大の板碑があり、稲城市指定文化財にも指定されています。,,京王相模原線京王よみうりランド駅下車徒歩4分,,,,(042)377-6302,,,,,
132250,1322500008,東京都,稲城市,青渭神社,アオイジンジャ,,0701a,東京都稲城市東長沼1053,,35.64273,139.50116,日月火水木金土,,,,無料,無料,平安時代に編纂された延喜式神名帳に記載があるとされる古社。昔は神社の近くに大きな青い沼があり、その神霊を祀ったことが起源とされていることから、青沼大明神ともいわれています。,,JR南武線稲城長沼駅下車徒歩8分,,,,(042)377-5300,,,,,
132250,1322500009,東京都,稲城市,常楽寺,ジョウラクジ,,0702a,東京都稲城市東長沼2117-2,,35.63711,139.50123,日月火水木金土,,,,無料,無料,永禄元年（1558年）に比叡山で修業した僧侶が再興した天台宗の寺院で、東京都指定文化財の阿弥陀三尊像と閻魔王坐像が安置されています。,,京王相模原線稲城駅下車徒歩3分,,,,(042)377-7660,,,,,
132250,1322500010,東京都,稲城市,杉山神社,スギヤマジンジャ,,0701a,東京都稲城市平尾4-45-6,,35.61188,139.48586,日月火水木金土,,,,無料,無料,鶴見川流域に点在する杉山神社のうちの一社で、勝利と縁結びの神社としても有名です。,,"小田急多摩線栗平駅下車徒歩12分
iバス「上平尾」下車徒歩3分",,,,(042)331-1047,,,,,
