都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
130001,1322500001,東京都,稲城市,稲城やまざき整形外科,イナギヤマザキセイケイゲカ,無床診療所,東京都稲城市矢野口724-7,Nビル２階,35.641378,139.517845,(042)377-4116,,,,,1315120753,月火水金土,09:00,18:30,木曜・日曜・祝日・土曜午後は休診,,整形外科;リウマチ科;リハビリテーション科;形成外科,0,http://www.inagiy-seikei.jp/,
130001,1322500002,東京都,稲城市,かじわら内科・必尿器科クリニック,カジワラナイカ・ヒツニョウキカクリニック,無床診療所,東京都稲城市矢野口1541,アーバンシャトル１階,35.637267,139.514171,(042)370-8770,,,2012405004234,医療法人社団かじわらクリニック,1315121041,月火水金土,09:00,19:00,木曜・日曜・祝日は休診,,内科;必尿器科;皮膚科;小児科,0,https://www.kajiwara-cl.com/,
130001,1322500003,東京都,稲城市,こせき内科クリニック,コセキナイカクリニック,無床診療所,東京都稲城市矢野口730-1,,35.641595,139.517435,(042)377-0035,,,,,1315120605,月火木金土,09:00,18:00,水曜・日曜・祝日・土曜午後は休診,,内科;消化器内科;アレルギー科,0,http://www.koseki-naika.com/,
130001,1322500004,東京都,稲城市,しのづか眼科,シノヅカガンカ,無床診療所,東京都稲城市矢野口380-2-103,,35.641713,139.522576,(042)379-3149,,,5013405000617,医療法人社団貴光会,1315120464,月火水金土,09:00,19:00,木曜・日曜・祝日・土曜午後は休診,,眼科,0,https://www.shinozuka-ganka.com/,
130001,1322500005,東京都,稲城市,谷平医院,タニヒライイン,無床診療所,東京都稲城市矢野口277-2,,35.641757,139.519648,(042)377-6433,,,,,1315120688,月火木金土,09:00,18:00,水曜・日曜・祝日・土曜午後は休診,,整形外科;リハビリテーション科;形成外科;内科,0,,
130001,1322500006,東京都,稲城市,矢野口クリニック,ヤノクチクリニック,無床診療所,東京都稲城市矢野口380-2-101,,35.641903,139.522733,(042)379-0939,,,4013405000106,医療法人社団矢野口クリニック,1315120431,月火水金土,09:00,19:00,木曜・日曜・祝日・土曜午後は休診,,内科;循環器内科,0,,
130001,1322500007,東京都,稲城市,やのくち小児科アレルギー科,ヤノクチショウニカアレルギーカ,無床診療所,東京都稲城市矢野口724-7,Nビル１階,35.641394,139.517837,(042)370-7707,,,,,1315120787,月火木金土,09:00,18:00,水曜・日曜・祝日・土曜午後は休診,,小児科;アレルギー科,0,http://www.yaokuchi-syounika.com/,
130001,1322500008,東京都,稲城市,よみうりランド慶友病院,ヨミウリランドケイユウビョウイン,病院,東京都稲城市矢野口3294,,35.627072,139.516506,(044)969-3222,,,7013105001104,医療法人社団慶成会,1315170030,月火水木金土日,00:00,23:59,外来なし,,神経内科;内科,240,https://www.keiyu-hp.or.jp/yomiuri,
130001,1322500009,東京都,稲城市,桜井医院,サクライイイン,無床診療所,東京都稲城市押立1254-1,,35.644452,139.514879,(042)378-3224,,,1013405000109,医療法人社団桜井医院,1315120456,月火水金土,09:00,19:00,木曜・日曜・祝日・土曜午後は休診,,内科;小児科;外科;消化器内科;皮膚科;必尿器科;校門外科,0,,
130001,1322500010,東京都,稲城市,あべ内科クリニック,アベナイカクリニック,無床診療所,東京都稲城市東長沼3107-1,ピアタウン21　２階,35.636898,139.500671,(042)379-4870,,,,,1315120597,月火水金土,09:00,19:00,木曜・日曜・祝日・土曜午後は休診,,内科;消化器内科;小児科;皮膚科;放射線科,0,,
130001,1322500011,東京都,稲城市,稲城在宅療養クリニック,イナギザイタクリョウヨウクリニック,無床診療所,東京都稲城市東長沼3106-3,オークプラザ６D,35.637273,139.499299,(042)401-5770,,(042)401-5798,8011205001667,医療法人俊榮会,1315121058,月火水木金,09:00,17:00,土曜・日曜・祝日は休診,,内科（訪問診療）,0,https://inagi-zaitaku-cl.com/,
130001,1322500012,東京都,稲城市,稲城腎・内科クリニック,イナギジン・ナイカクリニック,無床診療所,東京都稲城市東長沼3106-1,ベェルヴェル稲城１階,35.637533,139.498880,(042)370-7611,,(042)370-7612,5010605000579,医療法人社団慶心会,1315120811,月火水金,09:45,18:30,木曜・日曜・祝日・火曜午後・土曜午後は休診,,内科;腎臓内科,0,https://www.keishinkai.or.jp/inagi/,
